autoscaler: 2025/04/23 22:54:21 🧵 Auto‑scaler initialized
autoscaler: 2025/04/23 22:54:22 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:22 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:22 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:22 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:23 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:23 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:23 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:23 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:24 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:24 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:24 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:24 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:25 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:25 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:25 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:25 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:26 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:26 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:26 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:26 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:27 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:27 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:27 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:27 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:28 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:28 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:28 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:28 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:29 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:29 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:29 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:29 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:30 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:30 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:30 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:30 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:31 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:31 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:31 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:31 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:32 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:32 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:32 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:32 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:33 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:33 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:33 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:33 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:34 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:34 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:34 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:34 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:35 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:35 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:35 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:35 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:36 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:36 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:36 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:36 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:37 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:37 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:37 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:37 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:38 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:38 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:38 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:38 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:39 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:39 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:39 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:39 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:40 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:40 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:40 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:40 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:41 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:41 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:41 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:41 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:42 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:42 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:42 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:42 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:43 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:43 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:43 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:43 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:44 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:44 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:44 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:44 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:45 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:45 ℹ️ [task_shard_1] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:45 ℹ️ [task_shard_2] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:45 ℹ️ [task_shard_3] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:46 ℹ️ [task_shard_0] depth=0 liveWorkers=4
autoscaler: 2025/04/23 22:54:46 ℹ️ [task_shard_1] depth=0 liveWorkers=4
